Date,Price,Open,High,Low,Vol.,Change %,,,,,,
27-10-2025,"2,810.40","2,808.80","2,832.90","2,801.00",638.90K,0.17%,,,,,,
24-10-2025,"2,805.50","2,824.00","2,854.90","2,790.10",1.01M,-0.16%,,,,,,
23-10-2025,"2,810.00","2,839.70","2,853.80","2,801.80",511.56K,-0.77%,,,,,,
21-10-2025,"2,831.70","2,845.00","2,852.00","2,820.00",145.75K,-0.21%,,,,,,
20-10-2025,"2,837.60","2,830.20","2,846.90","2,813.10",488.63K,0.68%,,,,,,
17-10-2025,"2,818.30","2,830.00","2,880.00","2,807.10",801.68K,-0.48%,,,,,,
16-10-2025,"2,831.90","2,852.40","2,881.10","2,829.10",783.68K,-0.72%,,,,,,
15-10-2025,"2,852.40","2,800.00","2,870.00","2,786.80",789.87K,1.87%,,,,,,
14-10-2025,"2,800.00","2,830.00","2,854.00","2,785.70",533.60K,-1.03%,,,,,,
13-10-2025,"2,829.20","2,850.00","2,858.00","2,810.00",555.31K,-1.43%,,,,,,
10-10-2025,"2,870.10","2,900.00","2,929.70","2,865.00",900.33K,-0.64%,,,,,,
09-10-2025,"2,888.70","2,814.70","2,900.00","2,801.20",834.92K,2.63%,,,,,,
08-10-2025,"2,814.70","2,876.00","2,885.00","2,805.80",618.67K,-2.19%,,,,,,
07-10-2025,"2,877.70","2,896.70","2,912.00","2,865.20",486.08K,-0.36%,,,,,,
06-10-2025,"2,888.00","2,888.00","2,905.00","2,861.00",615.20K,0.23%,,,,,,
03-10-2025,"2,881.30","2,841.00","2,890.00","2,829.30",970.01K,1.40%,,,,,,
01-10-2025,"2,841.60","2,770.00","2,874.70","2,758.10",1.64M,2.90%,,,,,,
30-09-2025,"2,761.50","2,756.00","2,794.40","2,710.40",1.02M,0.38%,,,,,,
29-09-2025,"2,751.10","2,827.60","2,866.40","2,725.00",3.21M,-2.71%,,,,,,
26-09-2025,"2,827.60","2,920.00","2,920.00","2,821.10",943.65K,-3.30%,,,,,,
25-09-2025,"2,924.20","2,947.70","2,993.30","2,916.10",1.37M,-0.54%,,,,,,
24-09-2025,"2,940.20","2,959.70","2,995.00","2,924.00",1.49M,0.02%,,,,,,
23-09-2025,"2,939.50","2,977.00","2,991.30","2,914.10",934.67K,-1.24%,,,,,,
22-09-2025,"2,976.40","3,025.00","3,061.40","2,963.50",1.78M,-0.29%,,,,,,
19-09-2025,"2,985.00","2,978.10","3,015.00","2,969.10",846.04K,0.01%,,,,,,
18-09-2025,"2,984.60","3,008.50","3,030.00","2,971.50",1.46M,-0.41%,,,,,,
17-09-2025,"2,997.00","2,948.00","3,016.00","2,947.30",2.11M,1.73%,,,,,,
16-09-2025,"2,946.00","2,926.10","2,958.80","2,896.60",1.20M,0.72%,,,,,,
15-09-2025,"2,924.90","2,949.90","2,957.40","2,914.50",1.71M,0.01%,,,,,,
12-09-2025,"2,924.70","2,809.00","2,939.40","2,792.10",4.28M,4.66%,,,,,,
11-09-2025,"2,794.50","2,795.00","2,816.40","2,754.00",2.36M,1.42%,,,,,,
10-09-2025,"2,755.30","2,686.00","2,760.00","2,686.00",1.24M,2.66%,,,,,,
09-09-2025,"2,684.00","2,668.00","2,702.00","2,663.10",601.80K,0.71%,,,,,,
08-09-2025,"2,665.00","2,675.00","2,692.50","2,659.90",660.27K,-0.21%,,,,,,
05-09-2025,"2,670.70","2,670.00","2,696.50","2,647.00",795.65K,-0.36%,,,,,,
04-09-2025,"2,680.30","2,740.00","2,748.70","2,675.10",922.83K,-1.31%,,,,,,
03-09-2025,"2,715.80","2,740.00","2,779.00","2,703.50",1.28M,-0.56%,,,,,,
02-09-2025,"2,731.00","2,655.00","2,756.90","2,636.00",1.85M,2.93%,,,,,,
01-09-2025,"2,653.30","2,610.00","2,661.40","2,589.00",1.36M,1.93%,,,,,,
29-08-2025,"2,603.10","2,628.50","2,660.00","2,596.70",1.14M,-0.95%,,,,,,
28-08-2025,"2,628.10","2,664.00","2,695.80","2,620.10",1.01M,-2.22%,,,,,,
26-08-2025,"2,687.80","2,732.00","2,732.00","2,672.00",1.37M,-2.46%,,,,,,
25-08-2025,"2,755.70","2,798.90","2,798.90","2,736.10",2.52M,2.05%,,,,,,
22-08-2025,"2,700.30","2,754.90","2,757.90","2,695.50",1.13M,-2.44%,,,,,,
21-08-2025,"2,767.80","2,785.00","2,841.40","2,748.30",2.12M,-0.18%,,,,,,
20-08-2025,"2,772.90","2,748.00","2,796.00","2,722.00",1.22M,0.93%,,,,,,
