Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
AKAM,Technology,Software - Infrastructure,5.8,-13.4,5.4,-10.5,-1.9,25.0,46.59,63.19,88.11,57.56,48.35,43.27,-4.6,-4.12,4.24,6.03,22.45,20.81,4.27,4.21,80.66,53.09,1.2809,0.9695,True,True,False
ALB,Basic Materials,Specialty Chemicals,32.7,,-4.4,-56.7,0.0,-177.0,-0.8,38.15,212.08,47.96,,,,,2.73,4.41,22.67,20.79,5.49,5.14,61.02,61.79,1.1648,1.5532,False,True,True
ARE,Real Estate,REIT - Office,-11.5,,-3.4,-542.7,-10.4,-133.5,-3.38,-2.82,-25.08,-51.33,,,,,0.54,8.47,13.34,8.72,2.93,2.95,46.3,42.74,1.3628,1.0195,False,True,True
ALGN,Healthcare,Medical Instruments & Supplies,6.2,23.9,0.9,-2.6,-0.7,-16.9,-8.34,18.08,-5.35,-31.46,27.37,26.66,-10.53,-10.25,2.99,2.8,12.87,12.41,4.1,4.03,41.85,52.51,1.8974,1.6729,False,True,True
ALLE,Industrials,Security & Protection Services,9.7,-7.0,7.8,7.7,0.0,-6.4,-18.85,-20.16,-7.67,12.53,17.92,19.3,2.33,2.51,5.37,3.17,13.07,11.29,4.16,4.07,27.35,24.91,0.9395,0.7046,True,False,True
LNT,Utilities,Utilities - Regulated Electric,5.0,4.9,9.6,17.4,11.3,57.7,0.53,8.43,20.34,55.94,22.69,26.64,1.3,1.53,2.51,6.87,16.36,18.64,4.42,4.36,16.97,15.13,0.1381,0.0108,False,False,False
ALL,Financial Services,Insurance - Property & Casualty,3.0,338.4,5.6,120.3,-2.6,-35.9,-2.58,-0.8,2.22,31.87,4.62,10.18,0.04,0.08,1.81,0.84,3.87,53.36,68.17,67.07,19.93,23.31,0.0181,0.0255,False,False,True
GOOGL,Communication Services,Internet Content & Information,21.8,82.0,15.1,32.0,-3.5,81.6,27.37,24.06,127.79,123.62,29.67,39.16,0.93,1.22,9.87,11.11,29.11,4726.6,422.5,402.84,34.06,28.91,1.6747,1.3508,False,False,False
GOOG,Communication Services,Internet Content & Information,21.8,82.0,15.1,32.0,-3.5,81.6,26.12,22.7,124.01,119.44,29.32,38.7,0.92,1.21,9.77,11.0,28.81,4678.02,422.5,402.84,33.2,28.27,1.6282,1.3257,False,False,False
MO,Consumer Defensive,Tobacco,5.3,106.3,-1.5,-38.3,-6.3,95.4,6.53,26.0,29.51,84.5,15.06,9.29,-0.39,-0.24,,6.93,8.95,120.18,20.38,20.14,25.17,22.22,-0.3096,-0.2619,False,True,False
